block_number,elapsed_time_ms
19477133,179.624231
19477134,43.258871
19477135,14.954839
19477136,26.400546
19477137,38.996660
19477138,41.372202
19477139,71.933537
19477140,25.759149
19477141,95.671688
19477142,98.463347
19477143,27.475172
19477144,53.432015
19477145,45.341626
19477146,79.871980
19477147,71.052492
19477148,49.068569
19477149,194.614305
19477150,22.969071
19477151,41.448231
19477152,26.271839
19477153,87.193269
19477154,24.347246
19477155,82.856719
19477156,72.589575
19477157,103.756800
19477158,66.502963
19477159,118.544160
19477160,61.541614
19477161,84.215565
19477162,86.469428
19477163,32.306966
19477164,78.883830
19477165,85.020771
19477166,98.107642
19477167,9.814559
19477168,40.015542
19477169,41.495829
19477170,47.247458
19477171,18.127228
19477172,86.786724
19477173,37.404006
19477174,80.406114
19477175,154.590782
19477176,45.961287
19477177,49.986839
19477178,113.264292
19477179,39.960376
19477180,44.777161
19477181,89.321457
19477182,98.859914
19477183,40.710850
19477184,45.687176
19477185,90.026036
19477186,1.257978
19477187,127.383353
19477188,67.625063
19477189,63.542905
19477190,31.645314
19477191,114.975746
19477192,5.013955
19477193,13.545896
19477194,172.435148
19477195,7.256662
19477196,68.881855
19477197,25.787765
19477198,35.342525
19477199,39.530522
19477200,51.149590
19477201,59.320676
19477202,3.721977
19477203,56.190169
19477204,23.512796
19477205,23.083778
19477206,70.193701
19477207,24.965955
19477208,13.579876
19477209,176.847639
19477210,4.121165
19477211,89.661017
19477212,188.570595
19477213,257.562310
19477214,141.194885
19477215,103.880069
19477216,22.594351
19477217,6.079194
19477218,188.901343
19477219,22.891260
19477220,110.123003
19477221,87.419246
19477222,29.631191
19477223,98.443027
19477224,37.366343
19477225,55.996205
19477226,73.251292
19477227,70.313605
19477228,19.404140
19477229,23.421909
19477230,58.193911
19477231,33.180331
19477232,121.860330
19477233,102.223497
19477234,132.483660
19477235,77.112145
19477236,94.275335
19477237,97.589865
19477238,123.116315
19477239,77.360645
19477240,128.492077
19477241,2.403600
19477242,190.027900
19477243,115.273567
19477244,13.254124
19477245,52.192705
19477246,59.669277
19477247,75.098005
19477248,156.767445
19477249,58.778760
19477250,88.474074
19477251,90.562531
19477252,112.806063
19477253,35.303046
19477254,33.645214
19477255,29.878001
19477256,138.429582
19477257,110.545128
19477258,104.219433
19477259,36.515112
19477260,34.820048
19477261,32.189047
19477262,50.378235
19477263,74.631099
19477264,91.540315
19477265,28.719042
19477266,215.921070
19477267,110.604011
19477268,18.001733
19477269,162.989204
19477270,104.902619
19477271,28.019185
19477272,32.387680
19477273,33.885914
19477274,29.627281
19477275,36.218007
19477276,32.066882
19477277,21.611375
19477278,39.730216
19477279,18.020899
19477280,33.411616
19477281,24.116142
19477282,97.021905
19477283,237.638285
19477284,21.695602
19477285,68.974746
19477286,134.501098
19477287,63.548538
19477288,76.888433
19477289,28.945879
19477290,26.688816
19477291,53.998778
19477292,4.176742
19477293,234.804420
19477294,123.325631
19477295,104.566116
19477296,3.356116
19477297,185.235535
19477298,34.179680
19477299,66.958805
19477300,117.089613
19477301,31.538466
19477302,52.882119
19477303,119.922427
19477304,116.830527
19477305,161.957064
19477306,153.958807
19477307,186.193719
19477308,175.656688
19477309,101.423989
19477310,53.288864
19477311,101.966918
19477312,58.704576
19477313,143.406799
19477314,104.958180
19477315,39.630920
19477316,193.196795
19477317,41.880496
19477318,45.785155
19477319,110.183094
19477320,64.844469
19477321,103.976625
19477322,206.151160
19477323,103.462955
19477324,88.885503
19477325,12.969210
19477326,203.675687
19477327,21.150309
19477328,60.287141
19477329,14.001102
19477330,207.919152
19477331,110.250102
19477332,9.473485
19477333,437.459926
19477334,123.606594
19477335,9.191099
19477336,404.555309
19477337,553.752437
19477338,137.586318
19477339,655.241948
19477340,138.147459
19477341,164.021791
19477342,697.315808
19477343,186.054179
19477344,248.370918
19477345,191.235350
19477346,404.946600
19477347,272.286285
19477348,171.687062
19477349,258.180503
19477350,546.458243
19477351,211.348046
19477352,243.698335
19477353,293.223266
19477354,228.444376
19477355,25.324676
19477356,21.498854
19477357,90.482236
19477358,26.020534
19477359,16.764118
19477360,34.384728
19477361,6.039686
19477362,49.054695
19477363,17.419881
19477364,28.100305
19477365,33.884213
19477366,13.299873
19477367,35.290455
19477368,24.551292
19477369,25.147465
19477370,26.918568
19477371,32.343768
19477372,32.407806
19477373,30.406508
19477374,22.680774
19477375,29.456202
19477376,27.202187
19477377,73.415453
19477378,60.084045
19477379,18.278467
19477380,46.303340
19477381,119.449694
19477382,30.399204
19477383,31.059945
19477384,133.799499
19477385,197.492178
19477386,37.408141
19477387,27.235786
19477388,43.743850
19477389,38.208918
19477390,78.859685
19477391,21.068157
19477392,136.426186
19477393,116.951220
19477394,72.096529
19477395,195.120805
19477396,75.847451
19477397,202.944694
19477398,31.803557
19477399,30.669659
19477400,176.071242
19477401,44.100803
19477402,5.718838
19477403,283.659091
19477404,43.792623
19477405,32.391213
19477406,71.652702
19477407,33.915942
19477408,27.966943
19477409,39.297793
19477410,14.814068
19477411,33.497564
19477412,59.537274
19477413,21.548598
19477414,29.424322
19477415,6.487000
19477416,36.892258
19477417,33.649876
19477418,17.777961
19477419,4.792025
19477420,49.861497
19477421,34.371193
19477422,27.416368
19477423,26.947864
19477424,90.403198
19477425,27.045172
19477426,153.725157
19477427,24.945380
19477428,36.490792
19477429,21.053841
19477430,5.629332
19477431,46.873267
19477432,29.519596
19477433,17.179800
19477434,64.436600
19477435,18.595702
19477436,30.044051
19477437,27.487669
19477438,5.322557
19477439,64.841475
19477440,15.011967
19477441,39.244950
19477442,31.104064
19477443,29.810764
19477444,26.512754
19477445,27.068330
19477446,35.192097
19477447,39.367068
19477448,14.112942
19477449,16.876863
19477450,55.754933
19477451,30.247142
19477452,40.883466
19477453,5.986848
19477454,36.691338
19477455,84.679901
19477456,16.168605
19477457,18.296908
19477458,36.940339
19477459,25.382191
19477460,16.087914
19477461,24.838488
19477462,20.111734
19477463,21.078498
19477464,38.833015
19477465,59.802925
19477466,24.595452
19477467,6.114944
19477468,39.445767
19477469,147.887784
19477470,19.255187
19477471,18.148579
19477472,15.428511
19477473,43.460362
19477474,27.465760
19477475,40.163214
19477476,21.121860
19477477,19.426299
19477478,50.613822
19477479,14.894007
19477480,17.775579
19477481,57.763163
19477482,83.617684
19477483,10.138627
19477484,86.440762
19477485,2.765556
19477486,21.945142
19477487,16.945914
19477488,51.435219
19477489,5.977945
19477490,32.103490
19477491,26.343433
19477492,6.300205
19477493,50.391360
19477494,14.328208
19477495,21.124942
19477496,45.115468
19477497,28.210179
19477498,20.673500
19477499,44.047339
19477500,37.516747
19477501,42.510816
19477502,21.850460
19477503,28.988583
19477504,43.014608
19477505,38.711119
19477506,45.983256
19477507,31.948503
19477508,20.877438
19477509,20.254807
19477510,20.536390
19477511,54.409019
19477512,22.906971
19477513,12.506839
19477514,37.605958
19477515,21.363077
19477516,48.862385
19477517,51.766156
19477518,33.799251
19477519,28.253709
19477520,23.400045
19477521,34.000776
19477522,22.313077
19477523,9.265878
19477524,30.195167
19477525,10.563788
19477526,11.663368
19477527,16.992662
19477528,66.293993
19477529,15.849911
19477530,121.864120
19477531,43.566434
19477532,45.036990
19477533,16.611503
19477534,34.809500
19477535,24.516468
19477536,2.418457
19477537,16.020577
19477538,67.220274
19477539,27.400997
19477540,29.275718
19477541,28.282674
19477542,31.051170
19477543,18.438335
19477544,35.601506
19477545,25.384978
19477546,33.217322
19477547,18.742596
19477548,41.177636
19477549,13.823481
19477550,30.321489
19477551,13.511167
19477552,13.949998
19477553,26.098608
19477554,6.970328
19477555,28.979132
19477556,49.172669
19477557,2.182823
19477558,42.869959
19477559,31.475698
19477560,1.680329
19477561,14.909721
19477562,45.855067
19477563,21.950681
19477564,20.194292
19477565,1.459098
19477566,27.096763
19477567,26.673031
19477568,19.606111
19477569,26.909167
19477570,16.679173
19477571,42.421185
19477572,33.536225
19477573,775371.000000
19477574,52.903229
19477575,25.305027
19477576,23.441988
19477577,1.221455
19477578,58.041394
19477579,31.780431
19477580,55.333394
19477581,46.421499
19477582,57.099955
19477583,24.326467
19477584,7.908187
19477585,49.180933
19477586,30.105558
